MATRIKS OTORISASI PENGGUNA (ROLE-BASED ACCESS CONTROL),,,,,,,,,
Leader Dashboard - Hierarki 5 Tingkat: Staff (Lvl 1) ➔ Koordinator (Lvl 2) ➔ SPV (Lvl 3) ➔ Manager (Lvl 4) ➔ Direksi / Super User (Lvl 5),,,,,,,,,
"Petunjuk: Silakan edit nilai di kolom E sampai I sesuai kebijakan perusahaan Anda, lalu simpan file ini.",,,,,,,,,
No,Modul / Kategori,Aksi / Fitur Spesifik,Deskripsi Fungsi,Staff (Level 1),Koordinator (Level 2),SPV (Level 3),Manager (Level 4),Direksi / Super User (Level 5),Catatan / Syarat Khusus
1,Ruang Lingkup (Scope),Akses Lintas Divisi,Melihat dan memfilter data seluruh divisi tanpa batasan,Terkunci di Divisi Sendiri,Terkunci di Divisi Sendiri,Terkunci di Divisi Sendiri,Terkunci di Divisi Sendiri,Ya (Bebas Semua Divisi),Direksi & Super User dapat melihat dan beralih ke divisi mana saja
2,Ruang Lingkup (Scope),Pilihan Filter Divisi Global,Mengubah dropdown filter divisi di navbar utama,Tidak,Tidak,Tidak,Tidak,Ya,Karyawan level 1-4 otomatis terkunci ke divisinya masing-masing
3,Tugas (Tasks),Buat Task Baru,Membuat tugas baru pada project yang diikuti,Ya,Ya,Ya,Ya,Ya,Staff bebas membuat tugas kerja harian
4,Tugas (Tasks),Tag / Assign PIC Task,Menunjuk penanggung jawab atau kolaborator task,Bisa Tag Karyawan di Divisinya,Bisa Tag Karyawan di Divisinya,Bisa Tag Karyawan di Divisinya,Bisa Tag Karyawan di Divisinya,Bisa Tag Semua Karyawan,Staff dapat men-tag seluruh rekan di divisinya
5,Tugas (Tasks),Update Status Task,"Mengubah status task (To Do, In Progress, Review, Done)",Hanya Task Milik Sendiri,Semua Task di Dept,Semua Task di Divisi,Semua Task di Divisi,Semua Task,Staff hanya update task yang di-assign padanya
6,Tugas (Tasks),Checklist To-Do & Subtask,Mencentang dan menambah item subtask,Hanya Task Milik Sendiri,Semua Task di Dept,Semua Task di Divisi,Semua Task di Divisi,Semua Task,Memudahkan pemantauan progress pekerjaan
7,Tugas (Tasks),Komentar & Upload Lampiran,Memberikan update komentar dan file attachment,Ya (Task yang Diikuti),Ya (Task di Dept),Ya (Task di Divisi),Ya (Task di Divisi),Ya (Semua Task),Komunikasi pengerjaan tugas
8,Tugas (Tasks),Edit Detail & Deadline Task,"Mengubah deskripsi, deadline, dan prioritas task",Hanya Task Buatannya,Semua Task di Dept,Semua Task di Divisi,Semua Task di Divisi,Semua Task,Koordinator berhak atur jadwal stafnya
9,Tugas (Tasks),Hapus Task,Menghapus kartu task dari board / timeline,Tidak,Ya (Hanya di Dept),Ya (Semua di Divisi),Ya (Semua di Divisi),Ya (Semua Task),Proteksi agar staff tidak menghapus task penting tanpa sengaja
10,Proyek (Projects),Buat Project Baru,Mendaftarkan project baru di sistem,Tidak,Project Internal Dept,Project Divisi,Project Divisi,Semua Project,SPV/Manager pembuat project operasional
